1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"ROSE, Murray",Men,1500M Freestyle,Gold,Australia,AUS,23781169.0,56310.9629933721,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"ROSE, Murray",Men,1500M Freestyle,Gold,Australia,AUS,23781169.0,56310.9629933721,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"YAMANAKA, Tsuyoshi",Men,1500M Freestyle,Silver,Japan,JPN,126958472.0,32477.215144923397,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"YAMANAKA, Tsuyoshi",Men,1500M Freestyle,Silver,Japan,JPN,126958472.0,32477.215144923397,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"FURUKAWA, Masaru",Men,200M Breaststroke,Gold,Japan,JPN,126958472.0,32477.215144923397,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"FURUKAWA, Masaru",Men,200M Breaststroke,Gold,Japan,JPN,126958472.0,32477.215144923397,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"YOSHIMURA, Masahiro",Men,200M Breaststroke,Silver,Japan,JPN,126958472.0,32477.215144923397,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"YOSHIMURA, Masahiro",Men,200M Breaststroke,Silver,Japan,JPN,126958472.0,32477.215144923397,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"SZEKELY, Eva",Women,200M Breaststroke,Silver,Hungary,HUN,9844686.0,12363.543459653898,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1956-01-01,Melbourne / Stockholm,Aquatics,Swimming,"SZEKELY, Eva",Women,200M Breaststroke,Silver,Hungary,HUN,9844686.0,12363.543459653898,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
